clean,corrupted,label
"Calculate the least common multiple (LCM) of two numbers. LCM(20, 160) = 160, LCM(8, 64) =","Calculate the least common multiple (LCM) of two numbers. LCM(20, 160) = 160, LCM(33, 99) =",64
"Calculate the least common multiple (LCM) of two numbers. LCM(168, 144) = 1008, LCM(70, 280) =","Calculate the least common multiple (LCM) of two numbers. LCM(168, 144) = 1008, LCM(192, 384) =",280
"Calculate the least common multiple (LCM) of two numbers. LCM(6, 30) = 30, LCM(29, 203) =","Calculate the least common multiple (LCM) of two numbers. LCM(6, 30) = 30, LCM(32, 256) =",203
"Calculate the least common multiple (LCM) of two numbers. LCM(19, 95) = 95, LCM(19, 38) =","Calculate the least common multiple (LCM) of two numbers. LCM(19, 95) = 95, LCM(9, 90) =",38
"Calculate the least common multiple (LCM) of two numbers. LCM(20, 15) = 60, LCM(25, 30) =","Calculate the least common multiple (LCM) of two numbers. LCM(20, 15) = 60, LCM(174, 116) =",150
"Calculate the least common multiple (LCM) of two numbers. LCM(58, 116) = 116, LCM(128, 32) =","Calculate the least common multiple (LCM) of two numbers. LCM(58, 116) = 116, LCM(174, 58) =",128
"Calculate the least common multiple (LCM) of two numbers. LCM(170, 102) = 510, LCM(56, 28) =","Calculate the least common multiple (LCM) of two numbers. LCM(170, 102) = 510, LCM(290, 58) =",56
"Calculate the least common multiple (LCM) of two numbers. LCM(22, 110) = 110, LCM(7, 35) =","Calculate the least common multiple (LCM) of two numbers. LCM(22, 110) = 110, LCM(15, 105) =",35
"Calculate the least common multiple (LCM) of two numbers. LCM(27, 54) = 54, LCM(16, 112) =","Calculate the least common multiple (LCM) of two numbers. LCM(27, 54) = 54, LCM(11, 55) =",112
"Calculate the least common multiple (LCM) of two numbers. LCM(47, 470) = 470, LCM(28, 84) =","Calculate the least common multiple (LCM) of two numbers. LCM(47, 470) = 470, LCM(10, 50) =",84
"Calculate the least common multiple (LCM) of two numbers. LCM(73, 12) = 876, LCM(5, 32) =","Calculate the least common multiple (LCM) of two numbers. LCM(73, 12) = 876, LCM(9, 94) =",160
"Calculate the least common multiple (LCM) of two numbers. LCM(13, 130) = 130, LCM(26, 78) =","Calculate the least common multiple (LCM) of two numbers. LCM(13, 130) = 130, LCM(36, 288) =",78
"Calculate the least common multiple (LCM) of two numbers. LCM(400, 200) = 400, LCM(432, 96) =","Calculate the least common multiple (LCM) of two numbers. LCM(400, 200) = 400, LCM(150, 45) =",864
"Calculate the least common multiple (LCM) of two numbers. LCM(48, 72) = 144, LCM(42, 105) =","Calculate the least common multiple (LCM) of two numbers. LCM(48, 72) = 144, LCM(138, 69) =",210
"Calculate the least common multiple (LCM) of two numbers. LCM(18, 108) = 108, LCM(23, 92) =","Calculate the least common multiple (LCM) of two numbers. LCM(18, 108) = 108, LCM(6, 36) =",92
